StockCode,Description,Quantity,UnitPrice,Country,Rating
85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,United Kingdom,3
71053,WHITE METAL LANTERN,6,3.39,United Kingdom,3
84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75,United Kingdom,4
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,United Kingdom,0
84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39,United Kingdom,5
22752,SET 7 BABUSHKA NESTING BOXES,2,7.65,United Kingdom,1
21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,United Kingdom,2
22633,HAND WARMER UNION JACK,6,1.85,United Kingdom,1
22632,HAND WARMER RED POLKA DOT,6,1.85,United Kingdom,0
84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,United Kingdom,2
22745,POPPY'S PLAYHOUSE BEDROOM ,6,2.1,United Kingdom,0
22748,POPPY'S PLAYHOUSE KITCHEN,6,2.1,United Kingdom,4
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,United Kingdom,2
22310,IVORY KNITTED MUG COSY ,6,1.65,United Kingdom,5
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,United Kingdom,3
22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,United Kingdom,5
22622,BOX OF VINTAGE ALPHABET BLOCKS,2,9.95,United Kingdom,4
21754,HOME BUILDING BLOCK WORD,3,5.95,United Kingdom,5
21755,LOVE BUILDING BLOCK WORD,3,5.95,United Kingdom,2
21777,RECIPE BOX WITH METAL HEART,4,7.95,United Kingdom,1
48187,DOORMAT NEW ENGLAND,4,7.95,United Kingdom,4
22960,JAM MAKING SET WITH JARS,6,4.25,United Kingdom,1
22913,RED COAT RACK PARIS FASHION,3,4.95,United Kingdom,5
22912,YELLOW COAT RACK PARIS FASHION,3,4.95,United Kingdom,4
22914,BLUE COAT RACK PARIS FASHION,3,4.95,United Kingdom,5
21756,BATH BUILDING BLOCK WORD,3,5.95,United Kingdom,0
22728,ALARM CLOCK BAKELIKE PINK,24,3.75,France,0
22727,ALARM CLOCK BAKELIKE RED ,24,3.75,France,5
22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,France,0
21724,PANDA AND BUNNIES STICKER SHEET,12,0.85,France,3
21883,STARS GIFT TAPE ,24,0.65,France,0
10002,INFLATABLE POLITICAL GLOBE ,48,0.85,France,2
21791,VINTAGE HEADS AND TAILS CARD GAME ,24,1.25,France,5
21035,SET/2 RED RETROSPOT TEA TOWELS ,18,2.95,France,2
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2.95,France,5
22629,SPACEBOY LUNCH BOX ,24,1.95,France,2
22659,LUNCH BOX I LOVE LONDON,24,1.95,France,2
22631,CIRCUS PARADE LUNCH BOX ,24,1.95,France,2
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,France,5
21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65,France,4
22900, SET 2 TEA TOWELS I LOVE LONDON ,24,2.95,France,5
21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,France,5
22540,MINI JIGSAW CIRCUS PARADE ,24,0.42,France,4
22544,MINI JIGSAW SPACEBOY,24,0.42,France,0
22492,MINI PAINT SET VINTAGE ,36,0.65,France,3
POST,POSTAGE,3,18.0,France,1
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2.55,United Kingdom,0
20679,EDWARDIAN PARASOL RED,6,4.95,United Kingdom,0
37370,RETRO COFFEE MUGS ASSORTED,6,1.06,United Kingdom,5
21871,SAVE THE PLANET MUG,6,1.06,United Kingdom,5
21071,VINTAGE BILLBOARD DRINK ME MUG,6,1.06,United Kingdom,3
21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,United Kingdom,4
82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,United Kingdom,0
82486,WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,United Kingdom,5
82482,WOODEN PICTURE FRAME WHITE FINISH,6,2.1,United Kingdom,0
82494L,WOODEN FRAME ANTIQUE WHITE ,6,2.55,United Kingdom,3
21258,VICTORIAN SEWING BOX LARGE,32,10.95,United Kingdom,2
22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,United Kingdom,1
21733,RED HANGING HEART T-LIGHT HOLDER,64,2.55,United Kingdom,1
22386,JUMBO BAG PINK POLKADOT,10,1.95,United Kingdom,3
85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,United Kingdom,1
21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,United Kingdom,1
20723,STRAWBERRY CHARLOTTE BAG,10,0.85,United Kingdom,2
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,United Kingdom,1
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,3.75,United Kingdom,5
21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,United Kingdom,5
20725,LUNCH BAG RED RETROSPOT,10,1.65,United Kingdom,2
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,United Kingdom,0
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,United Kingdom,1
